annot	freq_in_pop	freq_in_int	total_ano_in_pop	total_ano_in_int	pval	pval_adj
Trypsin	337	45	15144	624	2.78516469299647e-12	1.12799170066357e-09
CLIP	23	8	15144	624	2.24882189271539e-06	0.000455386433274867
JHBP	25	8	15144	624	4.61053563476874e-06	0.00062242231069378
ERAP1_C	24	7	15144	624	3.65439960114868e-05	0.00370007959616304
Peptidase_M1	26	7	15144	624	6.46359473778187e-05	0.00523551173760331
Alpha-amylase	18	5	15144	624	0.00064025696995463	0.0432173454719375
CBM_21	2	2	15144	624	0.00169519675763009	0.0670350973495728
CBM39	7	3	15144	624	0.00215174386554184	0.0670350973495728
DUF1397	6	3	15144	624	0.00126833982576301	0.0670350973495728
Mtc	2	2	15144	624	0.00169519675763009	0.0670350973495728
OS-D	7	3	15144	624	0.00215174386554184	0.0670350973495728
PBP	7	3	15144	624	0.00215174386554184	0.0670350973495728
Trehalose_PPase	2	2	15144	624	0.00169519675763009	0.0670350973495728
LRR_8	147	14	15144	624	0.00302176936912093	0.087415471035284
ATP-grasp_2	3	2	15144	624	0.00494632037680706	0.100162987630343
Biopterin_H	3	2	15144	624	0.00494632037680706	0.100162987630343
EF-1_beta_acid	3	2	15144	624	0.00494632037680706	0.100162987630343
EF1_GNE	3	2	15144	624	0.00494632037680706	0.100162987630343
Lyase_1	3	2	15144	624	0.00494632037680706	0.100162987630343
SVWC	3	2	15144	624	0.00494632037680706	0.100162987630343
Serpin	18	4	15144	624	0.00550594847909809	0.106186149239749
AA_kinase	1	1	15144	624	0.0412044374009501	0.137915678904007
Acyl_transf_3	23	4	15144	624	0.0135412815559224	0.137915678904007
ADK_lid	1	1	15144	624	0.0412044374009501	0.137915678904007
ADSL_C	1	1	15144	624	0.0412044374009501	0.137915678904007
AIMP2_LysRS_bd	1	1	15144	624	0.0412044374009501	0.137915678904007
AIRC	1	1	15144	624	0.0412044374009501	0.137915678904007
Alpha_L_fucos	1	1	15144	624	0.0412044374009501	0.137915678904007
Anophelin	1	1	15144	624	0.0412044374009501	0.137915678904007
ApoLp-III	1	1	15144	624	0.0412044374009501	0.137915678904007
Arginase	1	1	15144	624	0.0412044374009501	0.137915678904007
Arginosuc_synth	1	1	15144	624	0.0412044374009501	0.137915678904007
ASL_C2	1	1	15144	624	0.0412044374009501	0.137915678904007
ATP-synt	1	1	15144	624	0.0412044374009501	0.137915678904007
ATP-synt_ab_C	1	1	15144	624	0.0412044374009501	0.137915678904007
ATP-synt_DE_N	1	1	15144	624	0.0412044374009501	0.137915678904007
Attacin_C	1	1	15144	624	0.0412044374009501	0.137915678904007
AZUL	1	1	15144	624	0.0412044374009501	0.137915678904007
CaMKII_AD	1	1	15144	624	0.0412044374009501	0.137915678904007
CBM_14	101	10	15144	624	0.00869861013065479	0.137915678904007
CBM_48	1	1	15144	624	0.0412044374009501	0.137915678904007
CDO_I	1	1	15144	624	0.0412044374009501	0.137915678904007
Citrate_bind	1	1	15144	624	0.0412044374009501	0.137915678904007
Cmyb_C	1	1	15144	624	0.0412044374009501	0.137915678904007
Cohesin_load	1	1	15144	624	0.0412044374009501	0.137915678904007
Crust_neurohorm	1	1	15144	624	0.0412044374009501	0.137915678904007
CTP_synth_N	1	1	15144	624	0.0412044374009501	0.137915678904007
Cytochrom_C1	1	1	15144	624	0.0412044374009501	0.137915678904007
DHDPS	1	1	15144	624	0.0412044374009501	0.137915678904007
DUF1011	1	1	15144	624	0.0412044374009501	0.137915678904007
DUF1989	1	1	15144	624	0.0412044374009501	0.137915678904007
DUF3523	1	1	15144	624	0.0412044374009501	0.137915678904007
DUF4820	1	1	15144	624	0.0412044374009501	0.137915678904007
DUF753	4	2	15144	624	0.00962266908166446	0.137915678904007
DuoxA	1	1	15144	624	0.0412044374009501	0.137915678904007
E1_DerP2_DerF2	16	3	15144	624	0.0261153242731759	0.137915678904007
EF1G	1	1	15144	624	0.0412044374009501	0.137915678904007
FAA_hydrolase_N	1	1	15144	624	0.0412044374009501	0.137915678904007
Fcf2	1	1	15144	624	0.0412044374009501	0.137915678904007
Fe-ADH	1	1	15144	624	0.0412044374009501	0.137915678904007
FTHFS	1	1	15144	624	0.0412044374009501	0.137915678904007
Fucosidase_C	1	1	15144	624	0.0412044374009501	0.137915678904007
GalP_UDP_tr_C	1	1	15144	624	0.0412044374009501	0.137915678904007
GalP_UDP_transf	1	1	15144	624	0.0412044374009501	0.137915678904007
GATase_5	1	1	15144	624	0.0412044374009501	0.137915678904007
GD_N	6	2	15144	624	0.02276829216366	0.137915678904007
GDE_C	1	1	15144	624	0.0412044374009501	0.137915678904007
Glyco_transf_20	1	1	15144	624	0.0412044374009501	0.137915678904007
Glycogen_syn	1	1	15144	624	0.0412044374009501	0.137915678904007
Glycolytic	1	1	15144	624	0.0412044374009501	0.137915678904007
Glyoxalase_4	1	1	15144	624	0.0412044374009501	0.137915678904007
HABP4_PAI-RBP1	1	1	15144	624	0.0412044374009501	0.137915678904007
hDGE_amylase	1	1	15144	624	0.0412044374009501	0.137915678904007
hGDE_central	1	1	15144	624	0.0412044374009501	0.137915678904007
hGDE_N	1	1	15144	624	0.0412044374009501	0.137915678904007
HgmA	1	1	15144	624	0.0412044374009501	0.137915678904007
Ig_2	8	2	15144	624	0.0402406250317404	0.137915678904007
IHABP4_N	1	1	15144	624	0.0412044374009501	0.137915678904007
IRK	6	2	15144	624	0.02276829216366	0.137915678904007
Iso_dh	5	2	15144	624	0.015601641384361	0.137915678904007
Kazal_1	12	3	15144	624	0.0115923051608285	0.137915678904007
KRAP_IP3R_bind	1	1	15144	624	0.0412044374009501	0.137915678904007
Las1	1	1	15144	624	0.0412044374009501	0.137915678904007
Lectin_C	29	4	15144	624	0.0299323186529759	0.137915678904007
Ligase_CoA	4	2	15144	624	0.00962266908166446	0.137915678904007
