annot	freq_in_pop	freq_in_int	total_ano_in_pop	total_ano_in_int	pval	pval_adj
CLIP	23	12	15144	2015	9.70916369193163e-06	0.00672462295684303
MCM	9	7	15144	2015	2.05855804801317e-05	0.00672462295684303
MCM_OB	9	7	15144	2015	2.05855804801317e-05	0.00672462295684303
zf-MYND	38	15	15144	2015	5.21633625855134e-05	0.0127800238334508
DHC_N2	13	8	15144	2015	6.68723440764349e-05	0.0131069794389812
Trypsin	337	70	15144	2015	8.12784821806182e-05	0.0132754854228343
AAA_6	11	7	15144	2015	0.00014763711067836	0.0144961889739776
AAA_8	11	7	15144	2015	0.00014763711067836	0.0144961889739776
Kinesin	21	10	15144	2015	0.000147920295652833	0.0144961889739776
SET	40	15	15144	2015	0.000104506559937183	0.0144961889739776
AAA_7	12	7	15144	2015	0.000313546022662348	0.0192046938880688
AAA_9	12	7	15144	2015	0.000313546022662348	0.0192046938880688
Dynein_heavy	12	7	15144	2015	0.000313546022662348	0.0192046938880688
MT	12	7	15144	2015	0.000313546022662348	0.0192046938880688
MutS_III	4	4	15144	2015	0.000312619413055946	0.0192046938880688
MutS_V	4	4	15144	2015	0.000312619413055946	0.0192046938880688
Sugar_tr	50	16	15144	2015	0.000514325265833794	0.0296493388539481
OS-D	7	5	15144	2015	0.000690024132739485	0.0375679805602608
PTCB-BRCT	5	4	15144	2015	0.00139699993459135	0.072055786099975
ARL2_Bind_BART	3	3	15144	2015	0.0023525698474553	0.0823399446609357
DUF1126	3	3	15144	2015	0.0023525698474553	0.0823399446609357
DUF4749	3	3	15144	2015	0.0023525698474553	0.0823399446609357
ERCC4	3	3	15144	2015	0.0023525698474553	0.0823399446609357
FAD_binding_8	3	3	15144	2015	0.0023525698474553	0.0823399446609357
Ferric_reduct	3	3	15144	2015	0.0023525698474553	0.0823399446609357
KIAA1430	3	3	15144	2015	0.0023525698474553	0.0823399446609357
NAD_binding_6	3	3	15144	2015	0.0023525698474553	0.0823399446609357
Polysacc_deac_1	3	3	15144	2015	0.0023525698474553	0.0823399446609357
DOMON	12	6	15144	2015	0.00248118022960895	0.0838467801729921
CBM_14	101	24	15144	2015	0.00296112825752627	0.0967301897458582
Cyclin_C	9	5	15144	2015	0.00328195674021872	0.100509925169198
TTL	9	5	15144	2015	0.00328195674021872	0.100509925169198
JHBP	25	9	15144	2015	0.00352688760570736	0.104737874351309
MCM_N	6	4	15144	2015	0.00374784006384639	0.108025978310866
cNMP_binding	17	7	15144	2015	0.00419640412911601	0.117499315615248
EGF_CA	22	8	15144	2015	0.00547849619853764	0.149136840960191
Glyco_hydro_18	32	10	15144	2015	0.0067991330269329	0.180085145037682
Calponin	4	3	15144	2015	0.00847242115065338	0.193092389014891
CLASP_N	4	3	15144	2015	0.00847242115065338	0.193092389014891
DM13	4	3	15144	2015	0.00847242115065338	0.193092389014891
LEM	4	3	15144	2015	0.00847242115065338	0.193092389014891
MIP	7	4	15144	2015	0.00782492797198893	0.193092389014891
Tektin	4	3	15144	2015	0.00847242115065338	0.193092389014891
AAA_5	11	5	15144	2015	0.00955726572656422	0.212866373000748
Alpha-amylase_C	5	3	15144	2015	0.0190855529747464	0.233798023940643
Borealin	2	2	15144	2015	0.0176962804918869	0.233798023940643
BRCT	5	3	15144	2015	0.0190855529747464	0.233798023940643
Casc1	2	2	15144	2015	0.0176962804918869	0.233798023940643
Casc1_N	2	2	15144	2015	0.0176962804918869	0.233798023940643
CBM_21	2	2	15144	2015	0.0176962804918869	0.233798023940643
cEGF	2	2	15144	2015	0.0176962804918869	0.233798023940643
CitMHS	2	2	15144	2015	0.0176962804918869	0.233798023940643
COE1_DBD	2	2	15144	2015	0.0176962804918869	0.233798023940643
DC_STAMP	2	2	15144	2015	0.0176962804918869	0.233798023940643
DUF4729	2	2	15144	2015	0.0176962804918869	0.233798023940643
DUF667	2	2	15144	2015	0.0176962804918869	0.233798023940643
Dynein_light	2	2	15144	2015	0.0176962804918869	0.233798023940643
E1_DerP2_DerF2	16	6	15144	2015	0.0134110388376885	0.233798023940643
EGF_3	2	2	15144	2015	0.0176962804918869	0.233798023940643
Folate_carrier	2	2	15144	2015	0.0176962804918869	0.233798023940643
Gln-synt_C	2	2	15144	2015	0.0176962804918869	0.233798023940643
Gln-synt_N	2	2	15144	2015	0.0176962804918869	0.233798023940643
GST_C_3	5	3	15144	2015	0.0190855529747464	0.233798023940643
HHH	2	2	15144	2015	0.0176962804918869	0.233798023940643
HhH-GPD	2	2	15144	2015	0.0176962804918869	0.233798023940643
MBF2	5	3	15144	2015	0.0190855529747464	0.233798023940643
MutS_I	2	2	15144	2015	0.0176962804918869	0.233798023940643
MutS_II	2	2	15144	2015	0.0176962804918869	0.233798023940643
MutS_IV	2	2	15144	2015	0.0176962804918869	0.233798023940643
