annot	freq_in_pop	freq_in_int	total_ano_in_pop	total_ano_in_int	pval	pval_adj
ELO	20	9	15144	975	1.61157586849369e-06	0.000920209820909898
Fibrinogen_C	51	12	15144	975	7.24255252691151e-05	0.0189927026487845
GSHPx	3	3	15144	975	0.000266097410140588	0.0189927026487845
Hemopexin	3	3	15144	975	0.000266097410140588	0.0189927026487845
Laminin_N	6	4	15144	975	0.000230646000163036	0.0189927026487845
Peptidase_M10	3	3	15144	975	0.000266097410140588	0.0189927026487845
PG_binding_1	3	3	15144	975	0.000266097410140588	0.0189927026487845
SBP56	3	3	15144	975	0.000266097410140588	0.0189927026487845
Snf7	7	4	15144	975	0.000510683651228864	0.0324000405390757
TIR	12	5	15144	975	0.000592067637624804	0.0338070621083763
Hemocyanin_N	18	6	15144	975	0.000665120665920124	0.0345258091127628
KAsynt_C_assoc	4	3	15144	975	0.00101314203155569	0.0385669400012198
KR	4	3	15144	975	0.00101314203155569	0.0385669400012198
PS-DH	4	3	15144	975	0.00101314203155569	0.0385669400012198
Thioesterase	4	3	15144	975	0.00101314203155569	0.0385669400012198
EcKinase	45	9	15144	975	0.00198088426708289	0.0706928072815206
ALIX_LYPXL_bnd	2	2	15144	975	0.00414105548237285	0.0738919587635906
ANTH	2	2	15144	975	0.00414105548237285	0.0738919587635906
C4	2	2	15144	975	0.00414105548237285	0.0738919587635906
Glyco_transf_25	2	2	15144	975	0.00414105548237285	0.0738919587635906
Hemocyanin_M	16	5	15144	975	0.00263002839521493	0.0738919587635906
I_LWEQ	2	2	15144	975	0.00414105548237285	0.0738919587635906
ketoacyl-synt	5	3	15144	975	0.00241130956077749	0.0738919587635906
Ketoacyl-synt_C	5	3	15144	975	0.00241130956077749	0.0738919587635906
M20_dimer	2	2	15144	975	0.00414105548237285	0.0738919587635906
NAD_binding_4	17	5	15144	975	0.00353054462887111	0.0738919587635906
Ninjurin	11	4	15144	975	0.00390885655034727	0.0738919587635906
Peptidase_M20	2	2	15144	975	0.00414105548237285	0.0738919587635906
PID	10	4	15144	975	0.00262005639073373	0.0738919587635906
RabGAP-TBC	23	6	15144	975	0.00274144586078048	0.0738919587635906
Sterile	17	5	15144	975	0.00353054462887111	0.0738919587635906
Vps5	2	2	15144	975	0.00414105548237285	0.0738919587635906
EMP24_GP25L	6	3	15144	975	0.00459197312139195	0.0749147614947087
Laminin_B	6	3	15144	975	0.00459197312139195	0.0749147614947087
PP-binding	6	3	15144	975	0.00459197312139195	0.0749147614947087
Laminin_EGF	12	4	15144	975	0.00556725100670851	0.0859162249954206
PH	43	8	15144	975	0.0055370596981203	0.0859162249954206
