annot	freq_in_pop	freq_in_int	total_ano_in_pop	total_ano_in_int	pval	pval_adj
Synaptobrevin	6	4	15116	806	0.000110400323561908	0.000110400323561908
DUF4749	3	3	15116	806	0.000151064535028176	0.000151064535028176
CH	25	7	15116	806	0.000246303518831197	0.000246303518831197
Neur_chan_LBD	28	7	15116	806	0.000527431229847601	0.000527431229847601
Neur_chan_memb	21	6	15116	806	0.000613460705187162	0.000613460705187162
Ion_trans	41	8	15116	806	0.00125542586195423	0.00125542586195423
Myosin_tail_1	5	3	15116	806	0.00139280335025319	0.00139280335025319
Biotin_lipoyl	6	3	15116	806	0.00267520637694447	0.00267520637694447
Myosin_N	2	2	15116	806	0.00283978778907445	0.00283978778907445
Ndr	2	2	15116	806	0.00283978778907445	0.00283978778907445
PRA1	2	2	15116	806	0.00283978778907445	0.00283978778907445
PDZ	59	9	15116	806	0.00380267571753292	0.00380267571753292
SH2	30	6	15116	806	0.00445616885891754	0.00445616885891754
Cation_ATPase	8	3	15116	806	0.00691099039755722	0.00691099039755722
Biopterin_H	3	2	15116	806	0.00821723429716699	0.00821723429716699
Biotin_carb_C	3	2	15116	806	0.00821723429716699	0.00821723429716699
Biotin_carb_N	3	2	15116	806	0.00821723429716699	0.00821723429716699
PH_9	3	2	15116	806	0.00821723429716699	0.00821723429716699
7tm_1	81	10	15116	806	0.0107136399310053	0.0107136399310053
AMP-binding	26	5	15116	806	0.0109927696654733	0.0109927696654733
BAR	4	2	15116	806	0.0158542900191576	0.0158542900191576
Cation_ATPase_C	4	2	15116	806	0.0158542900191576	0.0158542900191576
Cation_ATPase_N	4	2	15116	806	0.0158542900191576	0.0158542900191576
CPSase_L_D2	4	2	15116	806	0.0158542900191576	0.0158542900191576
DDT	4	2	15116	806	0.0158542900191576	0.0158542900191576
PNP_UDP_1	4	2	15116	806	0.0158542900191576	0.0158542900191576
WSD	4	2	15116	806	0.0158542900191576	0.0158542900191576
E1-E2_ATPase	11	3	15116	806	0.0180615680716525	0.0180615680716525
Pkinase	157	15	15116	806	0.0205937925807723	0.0205937925807723
Aminotran_3	5	2	15116	806	0.0254952811317605	0.0254952811317605
DNA_pol_A_exo1	5	2	15116	806	0.0254952811317605	0.0254952811317605
Sec7	5	2	15116	806	0.0254952811317605	0.0254952811317605
fn3	43	6	15116	806	0.0255186704155317	0.0255186704155317
7tm_7	55	7	15116	806	0.0261104793148042	0.0261104793148042
Claudin_2	6	2	15116	806	0.0369053185091686	0.0369053185091686
GATA	6	2	15116	806	0.0369053185091686	0.0369053185091686
GPHH	6	2	15116	806	0.0369053185091686	0.0369053185091686
His_Phos_1	6	2	15116	806	0.0369053185091686	0.0369053185091686
Innexin	6	2	15116	806	0.0369053185091686	0.0369053185091686
IRK	6	2	15116	806	0.0369053185091686	0.0369053185091686
Laminin_B	6	2	15116	806	0.0369053185091686	0.0369053185091686
MyTH4	6	2	15116	806	0.0369053185091686	0.0369053185091686
PSI	6	2	15116	806	0.0369053185091686	0.0369053185091686
Thyroglobulin_1	6	2	15116	806	0.0369053185091686	0.0369053185091686
tRNA-synt_2b	6	2	15116	806	0.0369053185091686	0.0369053185091686
Myosin_head	15	3	15116	806	0.0425180828261222	0.0425180828261222
Sugar_tr	50	6	15116	806	0.0487796478659046	0.0487796478659046
OS-D	7	2	15116	806	0.0498688124645253	0.0498688124645253
Sema	7	2	15116	806	0.0498688124645253	0.0498688124645253
AAA_2	1	1	15116	806	0.0533209843874041	0.0533209843874041
Abdominal-A	1	1	15116	806	0.0533209843874041	0.0533209843874041
ACC_central	1	1	15116	806	0.0533209843874041	0.0533209843874041
AIP3	1	1	15116	806	0.0533209843874041	0.0533209843874041
Ala_racemase_N	1	1	15116	806	0.0533209843874041	0.0533209843874041
ATG13	1	1	15116	806	0.0533209843874041	0.0533209843874041
ATP-synt	1	1	15116	806	0.0533209843874041	0.0533209843874041
BCDHK_Adom3	1	1	15116	806	0.0533209843874041	0.0533209843874041
BCL_N	1	1	15116	806	0.0533209843874041	0.0533209843874041
BRAP2	1	1	15116	806	0.0533209843874041	0.0533209843874041
CAP_C	1	1	15116	806	0.0533209843874041	0.0533209843874041
CAP_N	1	1	15116	806	0.0533209843874041	0.0533209843874041
Cbl_N	1	1	15116	806	0.0533209843874041	0.0533209843874041
Cbl_N2	1	1	15116	806	0.0533209843874041	0.0533209843874041
Cbl_N3	1	1	15116	806	0.0533209843874041	0.0533209843874041
