Name	Length	EffectiveLength	TPM	NumReads
Anogam_AGAP004677-RA	1227	954.844	149.507663	3854.000000
Anogam_AGAP004678-RA	1035	762.844	33.552625	691.000000
Anogam_AGAP004679-RB	1593	1320.844	37.970933	1354.000000
Anogam_AGAP004680-RA	531	274.401	0.674944	5.000000
Anogam_AGAP004681-RA	411	176.043	0.631229	3.000000
Anogam_AGAP004682-RA	1650	1377.844	17.984990	669.000000
Anogam_AGAP028431-RA	315	110.497	6.704446	20.000000
Anogam_AGAP004683-RA	2208	1935.844	13.642793	713.000000
Anogam_AGAP004684-RA	441	199.056	172.499362	927.000000
Anogam_AGAP004685-RA	3393	3120.844	34.597968	2915.000000
Anogam_AGAP004686-RA	2703	2430.844	29.820700	1957.000000
Anogam_AGAP004687-RA	189	49.548	0.000000	0.000000
Anogam_AGAP028432-RA	3666	3393.844	1.429761	131.000000
Anogam_AGAP004688-RA	1023	750.844	0.147998	3.000000
Anogam_AGAP004689-RA	1836	1563.844	20.867317	881.000000
Anogam_AGAP004690-RA	414	178.289	14.127612	68.000000
Anogam_AGAP004691-RA	1857	1584.844	16.220233	694.000000
Anogam_AGAP028433-RA	13833	13560.844	7.649078	2800.346202
Anogam_AGAP004692-RA	5334	5061.844	18.784567	2567.000000
Anogam_AGAP004693-RA	3258	2985.844	0.248112	20.000000
Anogam_AGAP004694-RA	963	691.912	0.856551	16.000000
Anogam_AGAP028434-RA	1212	939.844	0.000000	0.000000
Anogam_AGAP028435-RA	336	123.573	5.472425	18.256544
Anogam_AGAP004695-RA	894	623.363	13.429235	226.000000
Anogam_AGAP004696-RA	1089	816.844	52.828829	1165.000000
Anogam_AGAP004698-RA	1173	900.844	31.825523	774.000000
Anogam_AGAP004699-RA	2004	1731.844	17.003663	795.000000
Anogam_AGAP004700-RA	927	656.121	133.007217	2356.000000
Anogam_AGAP004701-RA	4104	3831.844	1.053666	109.000000
Anogam_AGAP028436-RA	1740	1467.844	0.025235	1.000000
Anogam_AGAP004702-RA	723	454.593	1.059265	13.000000
Anogam_AGAP004703-RA	4140	3867.844	9.251076	966.000000
Anogam_AGAP004704-RA	1446	1173.844	41.179804	1305.000000
Anogam_AGAP028437-RA	2589	2316.844	5.899479	369.000000
Anogam_AGAP004706-RA	462	215.849	0.343213	2.000000
Anogam_AGAP004707-RI	6387	6114.844	0.987384	163.000000
Anogam_AGAP004708-RA	1992	1719.844	29.441747	1367.000000
Anogam_AGAP004709-RA	519	263.891	130.680002	931.000000
Anogam_AGAP004710-RA	171	43.704	1678.157245	1980.000000
Anogam_AGAP004711-RA	1842	1569.844	8.494350	360.000000
Anogam_AGAP004712-RA	552	293.068	2.780599	22.000000
Anogam_AGAP004713-RA	390	160.531	1.153703	5.000000
Anogam_AGAP004714-RA	1470	1197.844	1.236926	40.000000
Anogam_AGAP004715-RA	2778	2505.844	14.368001	972.000000
Anogam_AGAP004716-RA	1365	1092.844	0.000000	0.000000
Anogam_AGAP004717-RB	1563	1290.844	0.286953	10.000000
Anogam_AGAP004718-RA	1176	903.844	5.737448	140.000000
Anogam_AGAP004719-RA	1071	798.844	178.240170	3844.000000
Anogam_AGAP004720-RA	618	353.794	5.339535	51.000000
Anogam_AGAP004721-RA	1485	1212.844	14.140351	463.000000
Anogam_AGAP004722-RA	675	408.013	15.614861	172.000000
Anogam_AGAP004723-RA	573	312.024	24.454736	206.000000
Anogam_AGAP004724-RA	1872	1599.844	4.885274	211.000000
Anogam_AGAP004725-RA	2868	2595.844	29.608991	2075.000000
Anogam_AGAP004726-RA	1662	1389.844	2.212056	83.000000
Anogam_AGAP004727-RA	1290	1017.844	27.075462	744.000000
Anogam_AGAP004728-RA	2088	1815.844	0.183590	9.000000
Anogam_AGAP004729-RA	1560	1287.844	9.721596	338.000000
Anogam_AGAP004730-RA	819	549.033	0.472262	7.000000
Anogam_AGAP004731-RA	732	463.377	171.705505	2148.000000
Anogam_AGAP029113-RA	11877	11604.844	4.903215	1536.158990
Anogam_AGAP004733-RA	1947	1674.844	0.796182	36.000000
Anogam_AGAP004735-RA	1371	1098.844	7.550855	224.000000
Anogam_AGAP004736-RA	981	709.816	10.489009	201.000000
Anogam_AGAP004737-RA	1086	813.844	31.723113	697.000000
Anogam_AGAP004738-RA	1641	1368.844	5.926173	219.000000
Anogam_AGAP004739-RA	1566	1293.844	24.620716	860.000000
Anogam_AGAP004740-RA	777	507.579	4.962371	68.000000
Anogam_AGAP004741-RA	948	676.993	0.164143	3.000000
Anogam_AGAP004742-RA	3591	3318.844	74.052237	6635.000000
Anogam_AGAP004743-RA	618	353.794	228.971806	2187.000000
Anogam_AGAP004744-RA	1341	1068.844	192.579577	5557.000000
Anogam_AGAP004745-RA	3246	2973.844	17.213689	1382.000000
Anogam_AGAP004746-RA	2184	1911.844	17.650217	911.000000
Anogam_AGAP004747-RA	2946	2673.844	9.863431	712.000000
Anogam_AGAP004748-RA	141	35.000	351.359556	332.000000
Anogam_AGAP004749-RB	1194	921.844	27.122549	675.000000
Anogam_AGAP004750-RA	3432	3159.844	62.093827	5297.000000
Anogam_AGAP004751-RA	3768	3495.844	2.754897	260.000000
